title,brand,price,link_item,link_img,resolution,size,rate,Lượt bán,index_,discount_index,original price,discount percent
Điện thoại Samsung Galaxy S23 FE 5G 8GB/128GB Xanh mint/Trắng,Samsung,9.890.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-fe?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/306994/samsung-galaxy-s23-fe-mint-thumbnew-600x600.jpg,Full HD+,"6.4""",4.9,"Đã bán 40,2k",93,93.0,13.990.000₫,-33%
Điện thoại iPhone 11 128GB,iPhone (Apple),10.590.000₫,https://www.thegioididong.com/dtdd/iphone-11-128gb,https://cdn.tgdd.vn/Products/Images/42/210644/iphone-11-den-600x600.jpg,Liquid Retina,"6.1""",4.9,Đã bán 55k,94,,,
Điện thoại Nokia 3210 4G,Nokia,1.590.000₫,https://www.thegioididong.com/dtdd/nokia-3210-4g,https://cdn.tgdd.vn/Products/Images/42/326477/nokia-3210-4g-yellow-thumb-600x600.jpg,QVGA,"2.4""",4.9,"Đã bán 13,5k",95,,,
Điện thoại OPPO Reno12 F 5G 12GB/256GB,OPPO,7.990.000₫,https://www.thegioididong.com/dtdd/oppo-reno12-f-5g-12gb-256gb,https://cdn.tgdd.vn/Products/Images/42/327190/oppo-reno12-f-5g-orange-thumb-600x600.jpg,Full HD+,"6.67""",4.9,"Đã bán 67,4k",96,96.0,14.890.000₫,-20%
Điện thoại OPPO Find N3 Flip 5G 12GB/256GB Hồng,OPPO,17.490.000₫,https://www.thegioididong.com/dtdd/oppo-find-n3-flip-hong,https://cdn.tgdd.vn/Products/Images/42/317981/oppo-find-n3-flip-pink-thumb-600x600.jpeg,Full HD+,"Chính 6.8"" & Phụ 3.26""",4.9,"Đã bán 1,7k",97,97.0,9.990.000₫,-23%
Điện thoại Itel it9211,Itel,490.000₫,https://www.thegioididong.com/dtdd/itel-it9211,https://cdn.tgdd.vn/Products/Images/42/329839/itel-it9211-xanh-thumb-600x600.jpg,"2.4""",No size,4.9,Đã bán 7k,98,,,
Điện thoại Samsung Galaxy Z Flip6 5G 12GB/256GB,Samsung,21.350.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip6,https://cdn.tgdd.vn/Products/Images/42/320722/samsung-galaxy-z-flip6-xanh-thumbn-600x600.jpg,Full HD+,"Chính 6.7"" & Phụ 3.4""",4.9,"Đã bán 2,5k",99,99.0,22.990.000₫,-26%
Điện thoại vivo Y100 8GB/256GB,vivo,7.690.000₫,https://www.thegioididong.com/dtdd/vivo-y100,https://cdn.tgdd.vn/Products/Images/42/302197/vivo-y100-xanh-thumb-1-600x600.jpg,Full HD+,"6.67""",4.9,"Đã bán 24,7k",100,,,
Điện thoại OPPO A38 6GB/128GB,OPPO,3.990.000₫,https://www.thegioididong.com/dtdd/oppo-a38-6gb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/320836/oppo-a38-black-thumb-600x600.jpg,HD+,"6.56""",4.9,"Đã bán 127,6k",101,,,
Điện thoại HONOR 200 5G 12GB/256GB,HONOR,11.990.000₫,https://www.thegioididong.com/dtdd/honor-200-12gb-256gb,https://cdn.tgdd.vn/Products/Images/42/329133/honor-200-white-thumb-600x600.jpg,1.5K,"6.7""",5,Đã bán 253,102,102.0,28.990.000₫,-7%
Điện thoại realme C60 4GB/64GB,realme,2.790.000₫,https://www.thegioididong.com/dtdd/realme-c60,https://cdn.tgdd.vn/Products/Images/42/322919/realme-c60-blue-thumb-600x600.jpg,HD+,"6.74""",4.9,Đã bán 500,103,,,
Điện thoại Itel it2600,Itel,490.000₫,https://www.thegioididong.com/dtdd/itel-it2600,https://cdn.tgdd.vn/Products/Images/42/328399/itel-it2600-black-thumb-1-600x600.jpg,QVGA,"2""",4.9,"Đã bán 9,2k",104,,,
Điện thoại HONOR Magic V3 5G 12GB/512GB,HONOR,39.990.000₫,https://www.thegioididong.com/dtdd/honor-magic-v3,https://cdn.tgdd.vn/Products/Images/42/332255/honor-magic-v3-green-thumb-600x600.jpg,Quad HD (2K),"Chính 7.92"" & Phụ 6.43""",5,Đã bán 37,105,,,
Điện thoại iPhone 15 Pro 512GB,iPhone (Apple),32.490.000₫,https://www.thegioididong.com/dtdd/iphone-15-pro-512gb,https://cdn.tgdd.vn/Products/Images/42/303832/iphone-15-pro-white-thumbnew-600x600.jpg,Super Retina XDR,"6.1""",4.9,Đã bán 729,106,,,
Điện thoại OPPO A58 8GB/128GB,OPPO,4.490.000₫,https://www.thegioididong.com/dtdd/oppo-a58-4g?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/311354/oppo-a58-4g-green-thumb-600x600.jpg,Full HD+,"6.72""",4.9,"Đã bán 123,4k",107,,,
Điện thoại Mobell Rock 4,Mobell,790.000₫,https://www.thegioididong.com/dtdd/mobell-rock-4,https://cdn.tgdd.vn/Products/Images/42/288631/mobell-rock-4-xanh-la-thumb-600x600.jpg,QVGA,"2.4""",4.9,"Đã bán 11,3k",108,,,
Điện thoại OPPO Find N3 5G 16GB/512GB,OPPO,36.990.000₫,https://www.thegioididong.com/dtdd/oppo-find-n3?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/302953/oppo-find-n3-vang-dong-thumb-600x600.jpg,Quad HD+ (2K+),"Chính 7.82"" & Phụ 6.31""",5,Đã bán 372,109,,,
Điện thoại Samsung Galaxy S25 Plus 5G 12GB/256GB,Samsung,23.990.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-plus,https://cdn.tgdd.vn/Products/Images/42/333359/samsung-galaxy-s25-plus-blue-thumb-600x600.jpg,Quad HD+ (2K+),"6.7""",No rate,No quantity sale,110,110.0,12.990.000₫,-11%
