name,brand,price (đ),link_item,link_img,ram (GB),rom (GB),rom_type,rate,quantity_sale,original price (đ),discount percent
Laptop Apple MacBook Pro 14 inch Nano M4 Pro 24GB/512GB,MacBook,53790000,https://www.thegioididong.com/laptop/macbook-pro-14-nano-m4-pro-24-512,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332450/macbook-pro-14-nano-m4-pro-24-512-261124-025120-638-600x600.jpg,24,512,SSD ,5.0,34.0,0,0
Laptop Asus TUF Gaming F15 FX507ZC4 i7 12700H/16GB/512GB/4GB RTX3050/144Hz/Win11 (HNi7MW),Asus,23490000,https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx507zc4-i7-hni7mw,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333101/asus-tuf-gaming-f15-fx507zc4-i7-hni7mw-thumb-638700308781836534-600x600.jpg,16,512,SSD ,5.0,24.0,26990000,12
Laptop Dell Inspiron 14 5430 i5 1340P/16GB/512GB/4GB RTX2050/120Hz/OfficeHS/Win11 (N5430-i5P165W11SL2050),Dell,26490000,https://www.thegioididong.com/laptop/dell-inspiron-14-5430-i5-i5p165w11sl2050?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/44/315955/dell-inspiron-14-5430-i5-i5p165w11sl2050-thumb-600x600.jpg,16,512,SSD ,5.0,66.0,29790000,11
Laptop HP Elitebook 630 G10 i5 1335U/16GB/512GB/Touch/Win11 (9J0B5PT),HP,23290000,https://www.thegioididong.com/laptop/hp-elitebook-630-g10-i5-9j0b5pt,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/323337/hp-elitebook-630-g10-i5-9j0b5pt-thumb-638648487629381502-600x600.jpg,16,512,SSD ,5.0,36.0,24390000,0
Laptop MacBook Pro 14 inch M4 Pro 48GB/1TB,MacBook,64990000,https://www.thegioididong.com/laptop/macbook-pro-14-inch-m4-pro-48gb-1tb,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331571/macbook-pro-14-inch-m4-pro-48gb-1tb-070225-100952-261-600x600.jpg,48,1024,SSD ,5.0,33.0,0,0
Laptop Apple MacBook Pro 16 inch M4 Pro 24GB/512GB,MacBook,64690000,https://www.thegioididong.com/laptop/macbook-pro-16-inch-m4-pro-24gb-512gb,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331574/macbook-pro-16-inch-m4-pro-24gb-512gb-011124-122517-232-600x600.jpg,24,512,SSD ,5.0,10.0,64990000,0
Laptop MacBook Pro 14 inch M4 Max 36GB/1TB,MacBook,77990000,https://www.thegioididong.com/laptop/macbook-pro-14-inch-m4-max-36gb-1tb,https://cdn.tgdd.vn/Products/Images/44/331572/macbook-pro-14-inch-m4-pro-bac-thumb-600x600.jpg,36,1024,SSD ,5.0,11.0,79990000,0
Laptop Dell G15 5530 i7 13650HX/16GB/1TB/8GB RTX4060/165Hz/OfficeHS/Win11 (i7HX161W11GR4060),Dell,36990000,https://www.thegioididong.com/laptop/dell-g15-5530-i7-i7hx161w11gr4060,https://cdn.tgdd.vn/Products/Images/44/327900/dell-g15-5530-i7-i7hx161w11gr4060-thumb-600x600.jpg,16,1024,SSD ,5.0,32.0,41990000,11
Laptop HP Elitebook 630 G11 Ultra 5 125U/16GB/512GB/Win11 (A7LL8PT),HP,24990000,https://www.thegioididong.com/laptop/hp-elitebook-630-g11-ultra-5-a7ll8pt,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331520/hp-elitebook-630-g11-ultra-5-a7ll8pt-thumb-638661784400764280-600x600.jpg,16,512,SSD ,5.0,4.0,25690000,0
Laptop Apple MacBook Pro 16 inch M4 Pro 48GB/1TB,MacBook,79990000,https://www.thegioididong.com/laptop/macbook-pro-16-inch-m4-pro-48gb-1tb,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331578/macbook-pro-16-inch-m4-pro-48gb-1tb-011124-122535-918-600x600.jpg,48,1024,SSD ,5.0,14.0,0,0
